"","Date","Mosquito_Total","WNV_Detections","Precip_1","Precip_2","Precip_Total","Precip_Avg","Log_Precip"
"1",2007-05-29,40,0,0,0,0,0,0
"2",2007-06-05,127,0,0.42,0.27,0.69,0.345,0.128722284338427
"3",2007-06-26,216,0,0.16,0,0.16,0.08,0.0334237554869497
"4",2007-06-29,85,0,0,NA,NA,NA,NA
"5",2007-07-02,240,0,0,0,0,0,0
"6",2007-07-11,1103,0,0,0,0,0,0
"7",2007-07-18,853,1,1.55,0.92,2.47,1.235,0.349277527467955
"8",2007-07-19,687,0,0.16,0.01,0.17,0.085,0.0354297381845483
"9",2007-07-25,4069,5,0,0,0,0,0
"10",2007-07-27,247,0,0.17,0.04,0.21,0.105,0.0433622780211295
"11",2007-08-01,6904,18,0,0,0,0,0
"12",2007-08-02,2898,3,0,0,0,0,0
"13",2007-08-03,204,0,0,0,0,0,0
"14",2007-08-07,1780,12,1.31,0.06,1.37,0.685,0.226599905207357
"15",2007-08-08,4186,7,0.06,0.09,0.15,0.075,0.0314084642516241
"16",2007-08-09,507,1,0.05,0.46,0.51,0.255,0.0986437258170569
"17",2007-08-15,4661,37,0.23,0.83,1.06,0.53,0.184691430817599
"18",2007-08-16,4555,16,0,0,0,0,0
"19",2007-08-17,1915,7,0,0,0,0,0
"20",2007-08-21,1667,32,0,0.01,0.01,0.005,0.00216606175650763
"21",2007-08-22,4512,33,0.37,0.88,1.25,0.625,0.210853365314893
"22",2007-08-24,1478,25,0.24,0.2,0.44,0.22,0.0863598306747482
"23",2007-08-28,4748,9,0,0,0,0,0
"24",2007-09-04,524,8,0,0,0,0,0
"25",2007-09-05,2021,10,0,0,0,0,0
"26",2007-09-06,1511,2,0.18,0.08,0.26,0.13,0.0530784434834197
"27",2007-09-12,1193,5,0,0,0,0,0
"28",2007-09-18,392,0,0,0,0,0,0
"29",2007-09-19,1756,1,0,0,0,0,0
"30",2007-09-24,1570,2,0,0,0,0,0
"31",2007-09-25,333,0,0.27,0.01,0.28,0.14,0.0569048513364726
"32",2007-10-04,1373,2,0,0,0,0,0
"33",2007-10-09,333,0,0,0,0,0,0
"34",2009-05-28,190,0,0,0,0,0,0
"35",2009-06-02,663,0,0.12,0.06,0.18,0.09,0.0374264979406237
"36",2009-06-03,348,0,0,0,0,0,0
"37",2009-06-05,257,0,0,0,0,0,0
"38",2009-06-12,1204,0,0,0,0,0,0
"39",2009-06-15,345,0,0,0,0,0,0
"40",2009-06-19,701,0,3.97,0.87,4.84,2.42,0.534026106056135
"41",2009-06-22,2171,0,0.09,0.06,0.15,0.075,0.0314084642516241
"42",2009-06-26,798,0,0,0,0,0,0
"43",2009-06-29,903,0,0,0,0,0,0
"44",2009-07-06,719,0,0,0,0,0,0
"45",2009-07-10,996,0,0.08,0.12,0.2,0.1,0.0413926851582251
"46",2009-07-13,1369,0,0,0,0,0,0
"47",2009-07-17,1893,0,0,0,0,0,0
"48",2009-07-24,1215,2,0.14,0.19,0.33,0.165,0.0663259253620378
"49",2009-07-27,1482,2,0.02,0.03,0.05,0.025,0.0107238653917731
"50",2009-07-31,1159,1,0,0,0,0,0
"51",2009-08-07,878,0,0.33,0.23,0.56,0.28,0.107209969647868
"52",2009-08-13,602,2,0,0,0,0,0
"53",2009-08-25,691,7,0,0,0,0,0
"54",2009-08-27,175,0,0.95,1.19,2.14,1.07,0.315970345456918
"55",2009-09-03,129,1,0,0,0,0,0
"56",2009-09-14,563,3,0,0,0,0,0
"57",2009-09-17,743,0,0,0,0,0,0
